Realization;Total misfit
0;10807.540819650743
1;0.0
2;0.0
3;10756.936834891321
4;3385.1757532499214
5;0.0
6;205112.1471683303
7;0.0
8;6470.82317683743
9;49281.521254535226
10;0.0
11;163744.48952363982
12;31416.331750103105
13;0.0
14;10440.265222926299
15;41309.820167868274
16;0.0
17;33148.82450098073
18;0.0
19;8732.144196997435
20;4833.044557366768
21;8707.852605672122
22;0.0
23;0.0
24;0.0
25;0.0
26;0.0
27;0.0
28;7482.9943176459365
29;9095.995637348626
30;242009048.2211189
31;4508.79521387175
32;11720.84868247549
33;0.0
34;0.0
35;0.0
36;19381.175998813567
37;74290.60237856071
38;79208.04761627155
39;34335.511591041715
40;28318.17579368663
41;131138.0367816594
42;16321.714413641457
43;34539.00374143501
44;47765.93375687458
45;0.0
46;0.0
47;13955.9751057055
48;27038.399424133848
49;16347.987654744875
50;0.0
51;61068.35815795522
52;16673.512082552472
53;18860.66908807098
54;39830.003750945376
55;0.0
56;18297.82730800814
57;0.0
58;12043.89607092061
59;19553.90910608352
60;0.0
61;0.0
62;0.0
63;0.0
64;31613.56884555405
65;39593.597936636295
66;0.0
67;8648.762040773352
68;45344.82022140694
69;0.0
70;62169.43938000239
71;30590.689389557327
72;44851.779541870106
73;0.0
74;0.0
75;19442.420741876642
76;4731.031930632336
77;0.0
78;0.0
79;204041.18665842584
80;47967.12304291182
81;13342.72772581004
82;16744.100994687007
83;66303.48740138493
84;244792.7195149043
85;38935.79744877123
86;13688.0010113512
87;61148.3014380038
88;16432.34591351243
89;11797.66932893075
90;6165984.61750415
91;0.0
92;0.0
93;148539236838.95175
94;0.0
95;99976.61036563785
96;88039.19304195867
97;4894.817700504809
98;0.0
99;0.0
