Realization;Total misfit
0;4549.798640006156
1;0.0
2;0.0
3;10519.886153348014
4;4993.787425491929
5;0.0
6;7855.474511439394
7;0.0
8;2355.93973855999
9;7509.861970526291
10;0.0
11;3010.830858540429
12;1598.9756778509739
13;0.0
14;4122.292028972603
15;13098.550244897648
16;0.0
17;3998.904803274501
18;0.0
19;5499.481182911785
20;1843.5678257629427
21;160883.08933320837
22;0.0
23;0.0
24;0.0
25;0.0
26;0.0
27;0.0
28;1903.6108596372524
29;10464.05843449128
30;3753.996858171138
31;2567.307063969169
32;3555.448312041482
33;0.0
34;0.0
35;0.0
36;8231.430535307527
37;26142.03996060509
38;0.0
39;11020.445977285328
40;7223.1409649286115
41;3804.760332564337
42;27239.93346872656
43;29499.039765805974
44;14667.080624781447
45;0.0
46;0.0
47;8291.848798204037
48;6211.636381350274
49;14180.575237970166
50;0.0
51;0.0
52;0.0
53;6309.168477378252
54;0.0
55;0.0
56;1809.5712925352232
57;0.0
58;4076.401307481787
59;18257.32068385554
60;0.0
61;0.0
62;0.0
63;0.0
64;9232.6164171428
65;16293.866969074154
66;0.0
67;0.0
68;5579.5184809034945
69;0.0
70;17935.529038815253
71;7956.854784264712
72;9058.367291637684
73;0.0
74;0.0
75;7186.1830818209755
76;2507.279340798788
77;0.0
78;0.0
79;0.0
80;3751.635371650826
81;8972.102805050134
82;88274.97248370168
83;34991.25969014737
84;6927.711858629359
85;20223.6679875096
86;2829.1556437154513
87;40765.05953919987
88;4330.346613233612
89;14328.549860048348
90;3408.655949135735
91;0.0
92;0.0
93;5089.67999445625
94;0.0
95;12419.445650596988
96;5928.6044670063975
97;3215.3243229348855
98;0.0
99;0.0
