Realization;Total misfit
0;4549.964688438623
1;0.0
2;0.0
3;10317.496988943187
4;4993.3456439532965
5;0.0
6;7919.864073083332
7;0.0
8;2304.6425145264375
9;7509.7034832961
10;0.0
11;3008.847190773795
12;1602.498972211316
13;0.0
14;4122.568282989204
15;13099.508403901917
16;0.0
17;3998.3856535841387
18;0.0
19;5499.758872355617
20;1833.740725172392
21;649755907.2916578
22;0.0
23;0.0
24;0.0
25;0.0
26;0.0
27;0.0
28;1901.769687140136
29;10465.336935018133
30;3660.113716080783
31;2581.432180392134
32;3558.9023196246935
33;0.0
34;0.0
35;0.0
36;8240.638536480037
37;28919.148597840784
38;0.0
39;10934.363235318133
40;7223.4938659214195
41;3790.9187266465524
42;22552.130093404663
43;28687.409639081667
44;19189787206.536022
45;0.0
46;0.0
47;7579.164484548142
48;5004.519886670517
49;20728.50028505721
50;0.0
51;0.0
52;8337015412.079501
53;6314.821833735373
54;0.0
55;0.0
56;1809.8170000468824
57;0.0
58;4161.7101359210465
59;18285.390549686534
60;0.0
61;0.0
62;0.0
63;0.0
64;9233.045154676222
65;16286.134301647891
66;0.0
67;0.0
68;5454.781625290626
69;0.0
70;57107008650.19562
71;7839.519124117225
72;9594.847161536247
73;0.0
74;0.0
75;7186.730744886968
76;2837.7015634081663
77;0.0
78;0.0
79;0.0
80;3750.9079434240152
81;8967.644955284431
82;93914.33123854746
83;37193.639540724376
84;6816.82957470207
85;28167.271852210055
86;2829.407404056237
87;40781.43902578873
88;4288.157543955372
89;16896.69205004858
90;3294.1316182896367
91;0.0
92;0.0
93;4861.616732609017
94;0.0
95;14392.096393414775
96;5925.605657414936
97;3305.504388600345
98;0.0
99;0.0
