ENSEMBLE,REAL,RELPERM:EG,RELPERM:EO,RELPERM:EOG,RELPERM:EW,RELPERM:KRGEND,RELPERM:KROEND,RELPERM:KRWEND,RELPERM:LG,RELPERM:LO,RELPERM:LOG,RELPERM:LW,RELPERM:SGCR,RELPERM:SORG,RELPERM:SORW,RELPERM:SWCR,RELPERM:SWL,RELPERM:TG,RELPERM:TO,RELPERM:TOG,RELPERM:TW,EG,EO,EOG,EW,KRGEND,KRWEND,LG,LO,LOG,LW,SGCR,SORG,SORW,SWCR,SWL,TG,TO,TOG,TW
14_r04_run3_0_iter-0,0,1,9.65117,1,12.6072,0.6,0.151918,0.661145,1,0.739853,1,7.73034,0.05,0.1,0.00669075,0.1843,0.1843,1,10.9224,1,5.87923,1,9.65117,1,12.6072,0.6,0.661145,1,0.739853,1,7.73034,0.05,0.1,0.00669075,0.1843,0.1843,1,10.9224,1,5.87923
14_r04_run3_0_iter-0,1,1,8.32886,1,4.47563,0.6,0.636371,0.241492,1,8.81484,1,2.86698,0.05,0.1,0.489582,0.1843,0.1843,1,1.48038,1,8.2524,1,8.32886,1,4.47563,0.6,0.241492,1,8.81484,1,2.86698,0.05,0.1,0.489582,0.1843,0.1843,1,1.48038,1,8.2524
14_r04_run3_0_iter-0,2,1,11.2223,1,8.42271,0.6,0.851759,0.525884,1,13.3577,1,8.33522,0.05,0.1,0.294322,0.1843,0.1843,1,9.89752,1,5.02496,1,11.2223,1,8.42271,0.6,0.525884,1,13.3577,1,8.33522,0.05,0.1,0.294322,0.1843,0.1843,1,9.89752,1,5.02496
14_r04_run3_0_iter-0,3,1,13.362,1,9.57607,0.6,0.783747,0.839131,1,8.1922,1,5.34993,0.05,0.1,0.198897,0.1843,0.1843,1,5.53325,1,11.8654,1,13.362,1,9.57607,0.6,0.839131,1,8.1922,1,5.34993,0.05,0.1,0.198897,0.1843,0.1843,1,5.53325,1,11.8654
14_r04_run3_0_iter-0,4,1,3.54828,1,2.45454,0.6,0.221935,0.859435,1,3.524,1,5.58775,0.05,0.1,0.179582,0.1843,0.1843,1,7.08889,1,13.2156,1,3.54828,1,2.45454,0.6,0.859435,1,3.524,1,5.58775,0.05,0.1,0.179582,0.1843,0.1843,1,7.08889,1,13.2156
14_r04_run3_0_iter-0,5,1,6.452,1,7.7549,0.6,0.478718,0.839598,1,12.6838,1,3.08168,0.05,0.1,0.31987,0.1843,0.1843,1,13.8581,1,13.5709,1,6.452,1,7.7549,0.6,0.839598,1,12.6838,1,3.08168,0.05,0.1,0.31987,0.1843,0.1843,1,13.8581,1,13.5709
14_r04_run3_0_iter-0,6,1,0.325799,1,8.50621,0.6,0.718496,0.406193,1,11.0907,1,4.77563,0.05,0.1,0.428049,0.1843,0.1843,1,3.66445,1,13.2502,1,0.325799,1,8.50621,0.6,0.406193,1,11.0907,1,4.77563,0.05,0.1,0.428049,0.1843,0.1843,1,3.66445,1,13.2502
14_r04_run3_0_iter-0,7,1,8.73561,1,3.86789,0.6,0.299168,0.322598,1,6.22634,1,13.6843,0.05,0.1,0.288231,0.1843,0.1843,1,11.5986,1,0.942027,1,8.73561,1,3.86789,0.6,0.322598,1,6.22634,1,13.6843,0.05,0.1,0.288231,0.1843,0.1843,1,11.5986,1,0.942027
14_r04_run3_0_iter-0,8,1,11.086,1,9.46759,0.6,0.160482,0.524699,1,6.42344,1,11.1881,0.05,0.1,0.0296225,0.1843,0.1843,1,9.87271,1,12.7551,1,11.086,1,9.46759,0.6,0.524699,1,6.42344,1,11.1881,0.05,0.1,0.0296225,0.1843,0.1843,1,9.87271,1,12.7551
14_r04_run3_0_iter-0,9,1,9.25271,1,14.4987,0.6,0.451883,0.562584,1,0.757021,1,9.46564,0.05,0.1,0.0309648,0.1843,0.1843,1,12.0324,1,9.92716,1,9.25271,1,14.4987,0.6,0.562584,1,0.757021,1,9.46564,0.05,0.1,0.0309648,0.1843,0.1843,1,12.0324,1,9.92716
14_r04_run3_0_iter-0,10,1,2.45891,1,2.59129,0.6,0.976781,0.266366,1,10.3701,1,14.6081,0.05,0.1,0.457092,0.1843,0.1843,1,2.24465,1,7.92173,1,2.45891,1,2.59129,0.6,0.266366,1,10.3701,1,14.6081,0.05,0.1,0.457092,0.1843,0.1843,1,2.24465,1,7.92173
14_r04_run3_0_iter-0,11,1,5.27738,1,2.87641,0.6,0.768385,0.608557,1,3.58571,1,5.90374,0.05,0.1,0.450697,0.1843,0.1843,1,14.8276,1,4.092,1,5.27738,1,2.87641,0.6,0.608557,1,3.58571,1,5.90374,0.05,0.1,0.450697,0.1843,0.1843,1,14.8276,1,4.092
14_r04_run3_0_iter-0,12,1,3.79804,1,1.21772,0.6,0.161628,0.245717,1,9.48275,1,8.53511,0.05,0.1,0.046578,0.1843,0.1843,1,13.3688,1,3.92063,1,3.79804,1,1.21772,0.6,0.245717,1,9.48275,1,8.53511,0.05,0.1,0.046578,0.1843,0.1843,1,13.3688,1,3.92063
14_r04_run3_0_iter-0,13,1,5.25085,1,12.751,0.6,0.273989,0.538916,1,9.06004,1,7.05722,0.05,0.1,0.156846,0.1843,0.1843,1,0.459275,1,4.70843,1,5.25085,1,12.751,0.6,0.538916,1,9.06004,1,7.05722,0.05,0.1,0.156846,0.1843,0.1843,1,0.459275,1,4.70843
14_r04_run3_0_iter-0,14,1,8.19721,1,5.21456,0.6,0.472733,0.768943,1,8.5071,1,4.15569,0.05,0.1,0.0414236,0.1843,0.1843,1,5.59992,1,10.4099,1,8.19721,1,5.21456,0.6,0.768943,1,8.5071,1,4.15569,0.05,0.1,0.0414236,0.1843,0.1843,1,5.59992,1,10.4099
14_r04_run3_0_iter-0,15,1,12.9474,1,13.184,0.6,0.617728,0.771194,1,2.65334,1,6.96093,0.05,0.1,0.00916677,0.1843,0.1843,1,9.69743,1,4.06448,1,12.9474,1,13.184,0.6,0.771194,1,2.65334,1,6.96093,0.05,0.1,0.00916677,0.1843,0.1843,1,9.69743,1,4.06448
14_r04_run3_0_iter-0,16,1,1.54951,1,9.6441,0.6,0.597164,0.643162,1,10.5646,1,9.31663,0.05,0.1,0.33721,0.1843,0.1843,1,6.22351,1,9.03075,1,1.54951,1,9.6441,0.6,0.643162,1,10.5646,1,9.31663,0.05,0.1,0.33721,0.1843,0.1843,1,6.22351,1,9.03075
14_r04_run3_0_iter-0,17,1,13.701,1,9.54004,0.6,0.122316,0.419097,1,2.36488,1,3.23582,0.05,0.1,0.27343,0.1843,0.1843,1,8.20382,1,0.785129,1,13.701,1,9.54004,0.6,0.419097,1,2.36488,1,3.23582,0.05,0.1,0.27343,0.1843,0.1843,1,8.20382,1,0.785129
14_r04_run3_0_iter-0,18,1,10.896,1,10.4226,0.6,0.849395,0.132334,1,13.0995,1,6.82052,0.05,0.1,0.106679,0.1843,0.1843,1,6.86214,1,7.63851,1,10.896,1,10.4226,0.6,0.132334,1,13.0995,1,6.82052,0.05,0.1,0.106679,0.1843,0.1843,1,6.86214,1,7.63851
14_r04_run3_0_iter-0,19,1,7.89116,1,11.9424,0.6,0.513174,0.779626,1,0.341702,1,5.39726,0.05,0.1,0.40908,0.1843,0.1843,1,3.17106,1,4.31353,1,7.89116,1,11.9424,0.6,0.779626,1,0.341702,1,5.39726,0.05,0.1,0.40908,0.1843,0.1843,1,3.17106,1,4.31353
14_r04_run3_0_iter-0,20,1,11.0293,1,0.458685,0.6,0.168813,0.467276,1,1.1403,1,8.93751,0.05,0.1,0.338325,0.1843,0.1843,1,5.21035,1,3.4867,1,11.0293,1,0.458685,0.6,0.467276,1,1.1403,1,8.93751,0.05,0.1,0.338325,0.1843,0.1843,1,5.21035,1,3.4867
14_r04_run3_0_iter-0,21,1,13.7469,1,12.0605,0.6,0.288105,0.73849,1,4.63986,1,0.544549,0.05,0.1,0.0720953,0.1843,0.1843,1,9.32864,1,14.2976,1,13.7469,1,12.0605,0.6,0.73849,1,4.63986,1,0.544549,0.05,0.1,0.0720953,0.1843,0.1843,1,9.32864,1,14.2976
14_r04_run3_0_iter-0,22,1,3.71947,1,12.5743,0.6,0.240552,0.516993,1,8.50989,1,14.8361,0.05,0.1,0.403748,0.1843,0.1843,1,3.2081,1,8.90821,1,3.71947,1,12.5743,0.6,0.516993,1,8.50989,1,14.8361,0.05,0.1,0.403748,0.1843,0.1843,1,3.2081,1,8.90821
14_r04_run3_0_iter-0,23,1,11.7921,1,12.8319,0.6,0.496546,0.996597,1,14.5646,1,10.3431,0.05,0.1,0.260159,0.1843,0.1843,1,14.608,1,3.74922,1,11.7921,1,12.8319,0.6,0.996597,1,14.5646,1,10.3431,0.05,0.1,0.260159,0.1843,0.1843,1,14.608,1,3.74922
14_r04_run3_0_iter-0,24,1,2.60199,1,12.6736,0.6,0.748851,0.707913,1,12.8466,1,9.81015,0.05,0.1,0.0871768,0.1843,0.1843,1,0.650548,1,4.91138,1,2.60199,1,12.6736,0.6,0.707913,1,12.8466,1,9.81015,0.05,0.1,0.0871768,0.1843,0.1843,1,0.650548,1,4.91138
14_r04_run3_0_iter-0,25,1,10.9201,1,14.4644,0.6,0.594803,0.842216,1,7.92112,1,9.39033,0.05,0.1,0.31184,0.1843,0.1843,1,4.98308,1,2.58856,1,10.9201,1,14.4644,0.6,0.842216,1,7.92112,1,9.39033,0.05,0.1,0.31184,0.1843,0.1843,1,4.98308,1,2.58856
14_r04_run3_0_iter-0,26,1,4.47473,1,14.8299,0.6,0.938128,0.559255,1,7.5512,1,14.5018,0.05,0.1,0.275788,0.1843,0.1843,1,0.822301,1,3.48811,1,4.47473,1,14.8299,0.6,0.559255,1,7.5512,1,14.5018,0.05,0.1,0.275788,0.1843,0.1843,1,0.822301,1,3.48811
14_r04_run3_0_iter-0,27,1,6.59363,1,13.8611,0.6,0.667933,0.510996,1,7.49663,1,10.7435,0.05,0.1,0.114524,0.1843,0.1843,1,2.60873,1,14.9011,1,6.59363,1,13.8611,0.6,0.510996,1,7.49663,1,10.7435,0.05,0.1,0.114524,0.1843,0.1843,1,2.60873,1,14.9011
14_r04_run3_0_iter-0,28,1,11.3957,1,10.2169,0.6,0.17834,0.533916,1,3.29901,1,2.23699,0.05,0.1,0.13213,0.1843,0.1843,1,9.34002,1,6.03963,1,11.3957,1,10.2169,0.6,0.533916,1,3.29901,1,2.23699,0.05,0.1,0.13213,0.1843,0.1843,1,9.34002,1,6.03963
14_r04_run3_0_iter-0,29,1,14.6194,1,12.8459,0.6,0.348075,0.289302,1,5.55633,1,0.452898,0.05,0.1,0.465789,0.1843,0.1843,1,0.791703,1,12.5173,1,14.6194,1,12.8459,0.6,0.289302,1,5.55633,1,0.452898,0.05,0.1,0.465789,0.1843,0.1843,1,0.791703,1,12.5173
14_r04_run3_0_iter-0,30,1,11.4293,1,3.11917,0.6,0.609915,0.906768,1,0.890287,1,0.292689,0.05,0.1,0.116101,0.1843,0.1843,1,0.988579,1,7.53434,1,11.4293,1,3.11917,0.6,0.906768,1,0.890287,1,0.292689,0.05,0.1,0.116101,0.1843,0.1843,1,0.988579,1,7.53434
14_r04_run3_0_iter-0,31,1,8.60019,1,3.72493,0.6,0.199409,0.621946,1,10.807,1,3.47316,0.05,0.1,0.1428,0.1843,0.1843,1,6.10986,1,6.53485,1,8.60019,1,3.72493,0.6,0.621946,1,10.807,1,3.47316,0.05,0.1,0.1428,0.1843,0.1843,1,6.10986,1,6.53485
14_r04_run3_0_iter-0,32,1,12.3928,1,9.49907,0.6,0.425291,0.855797,1,3.31982,1,4.5051,0.05,0.1,0.146315,0.1843,0.1843,1,7.2939,1,11.5701,1,12.3928,1,9.49907,0.6,0.855797,1,3.31982,1,4.5051,0.05,0.1,0.146315,0.1843,0.1843,1,7.2939,1,11.5701
14_r04_run3_0_iter-0,33,1,11.6933,1,11.7506,0.6,0.808562,0.193737,1,12.822,1,6.46844,0.05,0.1,0.354352,0.1843,0.1843,1,7.67874,1,9.58078,1,11.6933,1,11.7506,0.6,0.193737,1,12.822,1,6.46844,0.05,0.1,0.354352,0.1843,0.1843,1,7.67874,1,9.58078
14_r04_run3_0_iter-0,34,1,13.2304,1,4.61684,0.6,0.458988,0.107936,1,8.89127,1,2.94589,0.05,0.1,0.416561,0.1843,0.1843,1,4.26901,1,6.71986,1,13.2304,1,4.61684,0.6,0.107936,1,8.89127,1,2.94589,0.05,0.1,0.416561,0.1843,0.1843,1,4.26901,1,6.71986
14_r04_run3_0_iter-0,35,1,1.98667,1,3.41727,0.6,0.44776,0.962911,1,9.68171,1,14.5898,0.05,0.1,0.40099,0.1843,0.1843,1,14.9436,1,1.16078,1,1.98667,1,3.41727,0.6,0.962911,1,9.68171,1,14.5898,0.05,0.1,0.40099,0.1843,0.1843,1,14.9436,1,1.16078
14_r04_run3_0_iter-0,36,1,1.99005,1,0.993475,0.6,0.86099,0.984077,1,3.21356,1,7.7164,0.05,0.1,0.217392,0.1843,0.1843,1,3.14151,1,8.44547,1,1.99005,1,0.993475,0.6,0.984077,1,3.21356,1,7.7164,0.05,0.1,0.217392,0.1843,0.1843,1,3.14151,1,8.44547
14_r04_run3_0_iter-0,37,1,0.118453,1,2.70585,0.6,0.857816,0.448506,1,7.25669,1,9.94282,0.05,0.1,0.272334,0.1843,0.1843,1,14.7724,1,1.94289,1,0.118453,1,2.70585,0.6,0.448506,1,7.25669,1,9.94282,0.05,0.1,0.272334,0.1843,0.1843,1,14.7724,1,1.94289
14_r04_run3_0_iter-0,38,1,14.4357,1,13.2293,0.6,0.525846,0.101199,1,5.29324,1,14.9798,0.05,0.1,0.0618143,0.1843,0.1843,1,8.10251,1,10.7906,1,14.4357,1,13.2293,0.6,0.101199,1,5.29324,1,14.9798,0.05,0.1,0.0618143,0.1843,0.1843,1,8.10251,1,10.7906
14_r04_run3_0_iter-0,39,1,13.2615,1,6.25888,0.6,0.627051,0.713369,1,5.07289,1,13.8037,0.05,0.1,0.00891496,0.1843,0.1843,1,13.5939,1,13.9702,1,13.2615,1,6.25888,0.6,0.713369,1,5.07289,1,13.8037,0.05,0.1,0.00891496,0.1843,0.1843,1,13.5939,1,13.9702
14_r04_run3_0_iter-0,40,1,3.31757,1,4.88066,0.6,0.701809,0.759809,1,2.47535,1,4.86424,0.05,0.1,0.190949,0.1843,0.1843,1,10.9671,1,3.14419,1,3.31757,1,4.88066,0.6,0.759809,1,2.47535,1,4.86424,0.05,0.1,0.190949,0.1843,0.1843,1,10.9671,1,3.14419
14_r04_run3_0_iter-0,41,1,8.67316,1,14.6415,0.6,0.909784,0.779132,1,11.8946,1,6.01846,0.05,0.1,0.223426,0.1843,0.1843,1,14.8148,1,12.8804,1,8.67316,1,14.6415,0.6,0.779132,1,11.8946,1,6.01846,0.05,0.1,0.223426,0.1843,0.1843,1,14.8148,1,12.8804
