Realization;Total misfit
0;10807.503350771727
1;0.0
2;0.0
3;10703.084440124849
4;3365.300397700137
5;0.0
6;205884.6080790211
7;0.0
8;5947.077172449728
9;49235.781326277734
10;0.0
11;178209.51834683138
12;31405.02720524002
13;0.0
14;10212.921702968428
15;41318.29558678681
16;0.0
17;33146.69263318292
18;0.0
19;8731.957543754264
20;4832.14865470508
21;8713.866140299448
22;0.0
23;0.0
24;0.0
25;0.0
26;0.0
27;0.0
28;7483.8272306547615
29;9097.528402519856
30;139871.73176936628
31;4509.947612061736
32;11726.829976482048
33;0.0
34;0.0
35;0.0
36;19397.508782962213
37;71608.48213573739
38;79198.01758327006
39;35322.72665438136
40;28323.469934366294
41;146533.56093153122
42;16661.2111425249
43;35134.32400514782
44;47625.92979638379
45;0.0
46;0.0
47;13811.629489637673
48;27811.336574889283
49;16321.071153648434
50;0.0
51;59920.04630139733
52;48856.05741390502
53;18852.14319398334
54;39808.80928106285
55;0.0
56;18300.295003999923
57;0.0
58;12044.189512671317
59;19604.388565223384
60;0.0
61;0.0
62;0.0
63;0.0
64;31772.96063562584
65;39624.54416203036
66;0.0
67;0.0
68;43561.636956610695
69;0.0
70;62173.291262597726
71;30588.515601285544
72;46251.861032555586
73;0.0
74;0.0
75;19427.796204756698
76;4679.464445403884
77;0.0
78;0.0
79;174117.95883867497
80;47595.7216585977
81;13249.37007824274
82;19248.41862745417
83;66305.3239592848
84;220117.01210870035
85;38977.943488906836
86;13683.32337370342
87;60930.981099803306
88;17585.12903377067
89;12016.985419352379
90;6043999.981775933
91;0.0
92;0.0
93;18788.611692520706
94;0.0
95;74259.5353463993
96;98928.09413485452
97;4976.639871080197
98;0.0
99;0.0
