Realization;Norm_misfit
0;0.5385544375015784
1;0.0
2;0.0
3;0.5359464457121479
4;0.30052377646469797
5;0.0
6;2.3506006897326372
7;0.0
8;0.3995017686495823
9;1.1494956611398213
10;0.0
11;2.186917336752198
12;0.918050362082051
13;0.0
14;0.5235304185640397
15;1.0530236334755827
16;0.0
17;0.9431635747137486
18;0.0
19;0.48408622755241376
20;0.36011155954829005
21;0.4835844878138183
22;0.0
23;0.0
24;0.0
25;0.0
26;0.0
27;0.0
28;0.4481555671205241
29;0.4941156726498743
30;1.937456209026654
31;0.34789858936344203
32;0.5609927303925362
33;0.0
34;0.0
35;0.0
36;0.7215059183129025
37;1.3862742405745123
38;1.4578877093260187
39;0.9736301846823804
40;0.871846740634079
41;1.9830582489071313
42;0.6686828784810658
43;0.9710301623089145
44;1.1305470809185088
45;0.0
46;0.0
47;0.6088206563829813
48;0.8639285967177804
49;0.6618220741075176
50;0.0
51;1.26809850162237
52;1.1450544211254672
53;0.7112909518277976
54;1.033609549385727
55;0.0
56;0.7008030198505378
57;0.0
58;0.5685330411875754
59;0.7253432437438089
60;0.0
61;0.0
62;0.0
63;0.0
64;0.9234125263863528
65;1.0312146134708122
66;0.0
67;0.0
68;1.0812323095893632
69;0.0
70;1.291721381359913
71;0.9060373898719617
72;1.1141188579321375
73;0.0
74;0.0
75;0.7220689810954859
76;0.35437656581661187
77;0.0
78;0.0
79;2.161666553275423
80;1.1301884827841508
81;0.596299622883721
82;0.7187278058023829
83;1.3339548178035499
84;2.430489357561828
85;1.0227662303150553
86;0.605986172629064
87;1.278751054359436
88;0.6869730483296304
89;0.5678906082021743
90;12.735885513905323
91;0.0
92;0.0
93;0.7100914192895236
94;0.0
95;1.4117020096953763
96;1.629396355018306
97;0.3654559411941664
98;0.0
99;0.0
