ENSEMBLE,REAL,RELPERM:EG,RELPERM:EO,RELPERM:EOG,RELPERM:EW,RELPERM:KRGEND,RELPERM:KROEND,RELPERM:KRWEND,RELPERM:LG,RELPERM:LO,RELPERM:LOG,RELPERM:LW,RELPERM:SGCR,RELPERM:SORG,RELPERM:SORW,RELPERM:SWCR,RELPERM:SWL,RELPERM:TG,RELPERM:TO,RELPERM:TOG,RELPERM:TW,EG,EO,EOG,EW,KRGEND,KRWEND,LG,LO,LOG,LW,SGCR,SORG,SORW,SWCR,SWL,TG,TO,TOG,TW
00_run3_0_iter-0,0,1,3.62271,1,10.6092,0.6,0.326226,0.890165,1,2.99542,1,14.5935,0.05,0.1,0.42015,0.1796,0.1796,1,11.7971,1,11.8575,1,3.62271,1,10.6092,0.6,0.890165,1,2.99542,1,14.5935,0.05,0.1,0.42015,0.1796,0.1796,1,11.7971,1,11.8575
00_run3_0_iter-0,1,1,9.21103,1,7.653,0.6,0.778646,0.423619,1,12.7323,1,3.06913,0.05,0.1,0.107349,0.1796,0.1796,1,4.16622,1,9.78791,1,9.21103,1,7.653,0.6,0.423619,1,12.7323,1,3.06913,0.05,0.1,0.107349,0.1796,0.1796,1,4.16622,1,9.78791
00_run3_0_iter-0,2,1,5.79721,1,8.06636,0.6,0.748132,0.398238,1,10.9733,1,13.7195,0.05,0.1,0.237799,0.1796,0.1796,1,4.53038,1,10.6961,1,5.79721,1,8.06636,0.6,0.398238,1,10.9733,1,13.7195,0.05,0.1,0.237799,0.1796,0.1796,1,4.53038,1,10.6961
00_run3_0_iter-0,3,1,6.55087,1,4.70209,0.6,0.448783,0.519162,1,1.42565,1,11.1866,0.05,0.1,0.165979,0.1796,0.1796,1,10.7358,1,6.28474,1,6.55087,1,4.70209,0.6,0.519162,1,1.42565,1,11.1866,0.05,0.1,0.165979,0.1796,0.1796,1,10.7358,1,6.28474
00_run3_0_iter-0,4,1,2.66798,1,3.14576,0.6,0.270559,0.450933,1,2.06513,1,5.46347,0.05,0.1,0.250252,0.1796,0.1796,1,0.106442,1,9.85463,1,2.66798,1,3.14576,0.6,0.450933,1,2.06513,1,5.46347,0.05,0.1,0.250252,0.1796,0.1796,1,0.106442,1,9.85463
00_run3_0_iter-0,5,1,10.5501,1,7.34827,0.6,0.996402,0.639042,1,2.16112,1,0.436857,0.05,0.1,0.465547,0.1796,0.1796,1,9.93596,1,0.274533,1,10.5501,1,7.34827,0.6,0.639042,1,2.16112,1,0.436857,0.05,0.1,0.465547,0.1796,0.1796,1,9.93596,1,0.274533
00_run3_0_iter-0,6,1,1.3964,1,14.326,0.6,0.141883,0.962563,1,14.3838,1,2.74972,0.05,0.1,0.000565112,0.1796,0.1796,1,4.55956,1,11.3026,1,1.3964,1,14.326,0.6,0.962563,1,14.3838,1,2.74972,0.05,0.1,0.000565112,0.1796,0.1796,1,4.55956,1,11.3026
00_run3_0_iter-0,7,1,3.22044,1,2.611,0.6,0.217723,0.841499,1,10.774,1,9.37301,0.05,0.1,0.172272,0.1796,0.1796,1,5.15822,1,9.84881,1,3.22044,1,2.611,0.6,0.841499,1,10.774,1,9.37301,0.05,0.1,0.172272,0.1796,0.1796,1,5.15822,1,9.84881
00_run3_0_iter-0,8,1,0.927338,1,13.3452,0.6,0.583658,0.430359,1,8.08495,1,12.6104,0.05,0.1,0.0143475,0.1796,0.1796,1,4.63756,1,7.49855,1,0.927338,1,13.3452,0.6,0.430359,1,8.08495,1,12.6104,0.05,0.1,0.0143475,0.1796,0.1796,1,4.63756,1,7.49855
00_run3_0_iter-0,9,1,7.91735,1,7.5046,0.6,0.786974,0.38962,1,0.458848,1,12.3808,0.05,0.1,0.473601,0.1796,0.1796,1,0.80405,1,13.8125,1,7.91735,1,7.5046,0.6,0.38962,1,0.458848,1,12.3808,0.05,0.1,0.473601,0.1796,0.1796,1,0.80405,1,13.8125
